github_uri	repo_name	create_dockerfile_exit_code
git://github.com/STRIDES-Codes/A-FAIR-Data-Collection-Tool-to-standardize-research-meta-data-collection.git	A-FAIR-Data-Collection-Tool-to-standardize-research-meta-data-collection	0
git://github.com/STRIDES-Codes/Applying-machine-learning-techniques-to-omics-and-imaging-data-to-model-complex-traits.git	Applying-machine-learning-techniques-to-omics-and-imaging-data-to-model-complex-traits	0
git://github.com/STRIDES-Codes/Exploring-feature-selection-in-deep-learning-models-for-GDC-Cancer-site-expression-data.git	Exploring-feature-selection-in-deep-learning-models-for-GDC-Cancer-site-expression-data	0
git://github.com/STRIDES-Codes/CSHL-BiocSwirl.git	CSHL-BiocSwirl	0
git://github.com/STRIDES-Codes/Creating-nontechnical-jupyter-notebooks-for-exploratory-data-analysis-and-machine-learning-modeling.git	Creating-nontechnical-jupyter-notebooks-for-exploratory-data-analysis-and-machine-learning-modeling	0
git://github.com/STRIDES-Codes/Variant-discovery-using-long-read-data-across-SRA.git	Variant-discovery-using-long-read-data-across-SRA	0
git://github.com/STRIDES-Codes/subject-sample-search.git	subject-sample-search	0
git://github.com/STRIDES-Codes/View-SNPs-in-3D.git	View-SNPs-in-3D	0
git://github.com/STRIDES-Codes/Combining-existing-sequence-analysis-methods-with-graph-displays-for-visualization.git	Combining-existing-sequence-analysis-methods-with-graph-displays-for-visualization	0
git://github.com/STRIDES-Codes/Long-Read-Proteogenomics.git	Long-Read-Proteogenomics	0
git://github.com/STRIDES-Codes/GPU-GWAS.git	GPU-GWAS	0
git://github.com/STRIDES-Codes/SARS-CoV-2-sequence-analysis-tutorial-using-Galaxy.git	SARS-CoV-2-sequence-analysis-tutorial-using-Galaxy	0
git://github.com/STRIDES-Codes/Enhancing-the-capacity-of-variant-effect-prediction-a-multidisciplinary-application.git	Enhancing-the-capacity-of-variant-effect-prediction-a-multidisciplinary-application	0
git://github.com/STRIDES-Codes/rust-hmmer.git	rust-hmmer	0
git://github.com/STRIDES-Codes/Multi-Omics-Data-Integration-Principles-Key-to-Breast-Cancer-Insights.git	Multi-Omics-Data-Integration-Principles-Key-to-Breast-Cancer-Insights	0
git://github.com/STRIDES-Codes/MicrobeTaxaSARS2.git	MicrobeTaxaSARS2	0
git://github.com/STRIDES-Codes/Integrating-Omics-Data-in-Medical-Records.git	Integrating-Omics-Data-in-Medical-Records	0
git://github.com/STRIDES-Codes/Mediation-analysis-for-disparity-research.git	Mediation-analysis-for-disparity-research	0
git://github.com/STRIDES-Codes/Cancer-Health-Disparities-through-genomic-epidemiology-Lens.git	Cancer-Health-Disparities-through-genomic-epidemiology-Lens	0
git://github.com/STRIDES-Codes/A-culturally-humble-and-affordable-digital-platform-to-empower-at-risk-families.git	A-culturally-humble-and-affordable-digital-platform-to-empower-at-risk-families	0
git://github.com/STRIDES-Codes/Racial-and-SES-Disparities-in-Adolescent-and-Young-Adult-Cancers.git	Racial-and-SES-Disparities-in-Adolescent-and-Young-Adult-Cancers	0
git://github.com/STRIDES-Codes/Examination-of-COVID-19-s-impact-on-maternal-health-disparities.git	Examination-of-COVID-19-s-impact-on-maternal-health-disparities	0
git://github.com/STRIDES-Codes/Supporting-Pandemic-Recovery-Building-insights-on-vaccine-hesitancy-in-the-communities-hardest-hit.git	Supporting-Pandemic-Recovery-Building-insights-on-vaccine-hesitancy-in-the-communities-hardest-hit	0
git://github.com/STRIDES-Codes/Harmonizing-Data-for-Social-Determinants-of-Health.git	Harmonizing-Data-for-Social-Determinants-of-Health	0
git://github.com/STRIDES-Codes/Mapping-Clinical-SDOH-Screening-Tools-to-ICD-10-SDOH-Z-Codes-to-create-EHR-workflows.git	Mapping-Clinical-SDOH-Screening-Tools-to-ICD-10-SDOH-Z-Codes-to-create-EHR-workflows	0
git://github.com/STRIDES-Codes/A-Way-Out.git	A-Way-Out	0
git://github.com/STRIDES-Codes/STAW-Health.git	STAW-Health	0
git://github.com/STRIDES-Codes/github_test.git	github_test	0
git://github.com/STRIDES-Codes/Hack-the-hack-Creating-an-automated-tool-for-running-hackathons.git	Hack-the-hack-Creating-an-automated-tool-for-running-hackathons	0
git://github.com/STRIDES-Codes/Protein-antibody-interactions-in-SARS-CoV-2-Molecular-Visualization-and-Informatics.git	Protein-antibody-interactions-in-SARS-CoV-2-Molecular-Visualization-and-Informatics	0
git://github.com/STRIDES-Codes/Creating-Rmarkdown-courses-to-teach-bioinformatic-analysis-pipelines.git	Creating-Rmarkdown-courses-to-teach-bioinformatic-analysis-pipelines	0
git://github.com/STRIDES-Codes/AnnotQC.git	AnnotQC	0
git://github.com/STRIDES-Codes/NL4Cell-Integrating-NLP-with-single-cell-data-analysis.git	NL4Cell-Integrating-NLP-with-single-cell-data-analysis	0
git://github.com/STRIDES-Codes/Creating-a-data-analytics-dashboards-highlighting-minority-maternal-health-disparities.git	Creating-a-data-analytics-dashboards-highlighting-minority-maternal-health-disparities	0
git://github.com/STRIDES-Codes/ACT.git	ACT	0
git://github.com/STRIDES-Codes/Uncovering-the-Nutritional-Landscape-of-Food.git	Uncovering-the-Nutritional-Landscape-of-Food	0
git://github.com/STRIDES-Codes/github-demo.git	github-demo	0
git://github.com/NCBI-Codeathons/ncbi-codeathons.github.io.git	ncbi-codeathons.github.io	1
git://github.com/NCBI-Codeathons/test-repo.git	test-repo	0
git://github.com/NCBI-Codeathons/example-repo.git	example-repo	0
git://github.com/NCBI-Codeathons/repo-test-2.git	repo-test-2	0
git://github.com/NCBI-Codeathons/Clouseau.git	Clouseau	0
git://github.com/NCBI-Codeathons/SCANCNV.git	SCANCNV	0
git://github.com/NCBI-Codeathons/MASQ.git	MASQ	0
git://github.com/NCBI-Codeathons/ASAP.git	ASAP	0
git://github.com/NCBI-Codeathons/super-minityper.git	super-minityper	0
git://github.com/NCBI-Codeathons/DeNovoSV.git	DeNovoSV	0
git://github.com/NCBI-Codeathons/SWIGG.git	SWIGG	0
git://github.com/NCBI-Codeathons/Automated-Figure-extraction-and-Tagging.git	Automated-Figure-extraction-and-Tagging	0
git://github.com/NCBI-Codeathons/Protein-Variant-Impact-Score.git	Protein-Variant-Impact-Score	0
git://github.com/NCBI-Codeathons/Using-PubMed-MEDLINE-Metadata-to-Generate-Knowledge.git	Using-PubMed-MEDLINE-Metadata-to-Generate-Knowledge	0
git://github.com/NCBI-Codeathons/NNLM-FOA-Finding-organizing-and-analyzing-NNLM-funded-activity-data.git	NNLM-FOA-Finding-organizing-and-analyzing-NNLM-funded-activity-data	0
git://github.com/NCBI-Codeathons/Taxonomy-specific-RPS-BLAST-part-I.git	Taxonomy-specific-RPS-BLAST-part-I	0
git://github.com/NCBI-Codeathons/Use-UMLS-and-Python-to-classify-website-visitor-queries-into-measurable-categories.git	Use-UMLS-and-Python-to-classify-website-visitor-queries-into-measurable-categories	0
git://github.com/NCBI-Codeathons/Tell-us-how-you-really-feel-sentiment-analysis-with-Twitter.git	Tell-us-how-you-really-feel-sentiment-analysis-with-Twitter	0
git://github.com/NCBI-Codeathons/Taxonomy_Domain_Integration.git	Taxonomy_Domain_Integration	0
git://github.com/NCBI-Codeathons/Domain_HMM_Boundaries.git	Domain_HMM_Boundaries	0
git://github.com/NCBI-Codeathons/Host_Phage_Interactions.git	Host_Phage_Interactions	0
git://github.com/NCBI-Codeathons/Virus_Graphs.git	Virus_Graphs	0
git://github.com/NCBI-Codeathons/The_Virus_Index.git	The_Virus_Index	0
git://github.com/NCBI-Codeathons/HOPDARM.git	HOPDARM	0
git://github.com/NCBI-Codeathons/A-DEEP-CONVOLUTIONAL-NEURAL-NETWORK-FOR-IDENTIFYING-THYROID-CANCER.git	A-DEEP-CONVOLUTIONAL-NEURAL-NETWORK-FOR-IDENTIFYING-THYROID-CANCER	0
git://github.com/NCBI-Codeathons/MONITORING-POST-OPERATIVE-HEAD-NECK-CANCER-PATIENTS-VIA-SELF-POWERED-SMART-INSOLES.git	MONITORING-POST-OPERATIVE-HEAD-NECK-CANCER-PATIENTS-VIA-SELF-POWERED-SMART-INSOLES	0
git://github.com/NCBI-Codeathons/DEFINITION-OF-CELL-CYCLE-STATE-IN-LABEL-FREE-IMAGES.git	DEFINITION-OF-CELL-CYCLE-STATE-IN-LABEL-FREE-IMAGES	0
git://github.com/NCBI-Codeathons/SLEuth.git	SLEuth	0
git://github.com/NCBI-Codeathons/THE-ISOFORM-POTENTIAL-OF-THE-GENOME.git	THE-ISOFORM-POTENTIAL-OF-THE-GENOME	0
git://github.com/NCBI-Codeathons/USING-MACHINE-LEARNING-TO-IMPROVE-POST-ACUTE-REHABILITATION-PROCESS-FLOW.git	USING-MACHINE-LEARNING-TO-IMPROVE-POST-ACUTE-REHABILITATION-PROCESS-FLOW	0
git://github.com/NCBI-Codeathons/NGcubed.git	NGcubed	0
git://github.com/NCBI-Codeathons/REAL-TIME-CARDIAC-ASSESSMENT-OF-CATHETERIZATION-DERIVED-FICK-AND-CMR-DERIVED-FLOW.git	REAL-TIME-CARDIAC-ASSESSMENT-OF-CATHETERIZATION-DERIVED-FICK-AND-CMR-DERIVED-FLOW	0
git://github.com/NCBI-Codeathons/NOVEL-CLINICAL-PREDICTION-APPROACHES-TO-MANAGING-CARE-FOR-ACUTE-PULMONARY-EMBOLISM-PATIENTS.git	NOVEL-CLINICAL-PREDICTION-APPROACHES-TO-MANAGING-CARE-FOR-ACUTE-PULMONARY-EMBOLISM-PATIENTS	0
git://github.com/NCBI-Codeathons/OPTICAL-COHERENCE-TOMOGRAPHY-ANGIOGRAPHY-IN-GLAUCOMA.git	OPTICAL-COHERENCE-TOMOGRAPHY-ANGIOGRAPHY-IN-GLAUCOMA	0
git://github.com/NCBI-Codeathons/Evolutionary_Protein_Interaction_Conjecture.git	Evolutionary_Protein_Interaction_Conjecture	0
git://github.com/NCBI-Codeathons/GWAusage.git	GWAusage	0
git://github.com/NCBI-Codeathons/VirusGraphs3.git	VirusGraphs3	0
git://github.com/NCBI-Codeathons/ViraVate.git	ViraVate	0
git://github.com/NCBI-Codeathons/single-cell-comparison.git	single-cell-comparison	0
git://github.com/NCBI-Codeathons/Assessment-of-log-transformation-and-z-scores-for-scRNA-seq-data-analysis.git	Assessment-of-log-transformation-and-z-scores-for-scRNA-seq-data-analysis	0
git://github.com/NCBI-Codeathons/Identifying-bulk-RNA-seq-derived-biomarkers-of-cancer-risk-within-single-cell-populations.git	Identifying-bulk-RNA-seq-derived-biomarkers-of-cancer-risk-within-single-cell-populations	0
git://github.com/NCBI-Codeathons/MASCARA.git	MASCARA	0
git://github.com/NCBI-Codeathons/Understand-cancer-evolution-through-single-cell-expression-dynamics.git	Understand-cancer-evolution-through-single-cell-expression-dynamics	0
git://github.com/NCBI-Codeathons/automated-sc-RNA-seq-analysis-in-the-cloud.git	automated-sc-RNA-seq-analysis-in-the-cloud	0
