REPO	ORG	PYTHON	R	Dockerfile	DocktaDockerfile
A-FAIR-Data-Collection-Tool-to-standardize-research-meta-data-collection	STRIDES-Codes	NO	NO	NO	YES
Applying-machine-learning-techniques-to-omics-and-imaging-data-to-model-complex-traits	STRIDES-Codes	NO	NO	NO	YES
Exploring-feature-selection-in-deep-learning-models-for-GDC-Cancer-site-expression-data	STRIDES-Codes	NO	NO	NO	YES
CSHL-BiocSwirl	STRIDES-Codes	NO	NO	NO	YES
Creating-nontechnical-jupyter-notebooks-for-exploratory-data-analysis-and-machine-learning-modeling	STRIDES-Codes	YES	NO	NO	YES
Variant-discovery-using-long-read-data-across-SRA	STRIDES-Codes	NO	NO	NO	YES
subject-sample-search	STRIDES-Codes	NO	NO	NO	NO
View-SNPs-in-3D	STRIDES-Codes	YES	NO	NO	YES
Combining-existing-sequence-analysis-methods-with-graph-displays-for-visualization	STRIDES-Codes	YES	NO	NO	YES
Long-Read-Proteogenomics	STRIDES-Codes	NO	NO	NO	YES
GPU-GWAS	STRIDES-Codes	YES	NO	NO	YES
SARS-CoV-2-sequence-analysis-tutorial-using-Galaxy	STRIDES-Codes	NO	NO	NO	YES
Enhancing-the-capacity-of-variant-effect-prediction-a-multidisciplinary-application	STRIDES-Codes	NO	NO	NO	YES
rust-hmmer	STRIDES-Codes	NO	NO	NO	NO
Multi-Omics-Data-Integration-Principles-Key-to-Breast-Cancer-Insights	STRIDES-Codes	NO	NO	NO	YES
MicrobeTaxaSARS2	STRIDES-Codes	YES	NO	NO	YES
Integrating-Omics-Data-in-Medical-Records	STRIDES-Codes	YES	NO	NO	YES
Mediation-analysis-for-disparity-research	STRIDES-Codes	NO	NO	NO	YES
Cancer-Health-Disparities-through-genomic-epidemiology-Lens	STRIDES-Codes	NO	NO	NO	YES
A-culturally-humble-and-affordable-dal-platform-to-empower-at-risk-families	STRIDES-Codes	NO	NO	NO	NO
Racial-and-SES-Disparities-in-Adolescent-and-Young-Adult-Cancers	STRIDES-Codes	NO	NO	NO	YES
Examination-of-COVID-19-s-impact-on-maternal-health-disparities	STRIDES-Codes	NO	NO	NO	YES
Supporting-Pandemic-Recovery-Building-insights-on-vaccine-hesitancy-in-the-communities-hardest-hit	STRIDES-Codes	NO	NO	NO	YES
Harmonizing-Data-for-Social-Determinants-of-Health	STRIDES-Codes	NO	NO	NO	YES
Mapping-Clinical-SDOH-Screening-Tools-to-ICD-10-SDOH-Z-Codes-to-create-EHR-workflows	STRIDES-Codes	YES	NO	NO	YES
A-Way-Out	STRIDES-Codes	NO	NO	NO	YES
STAW-Health	STRIDES-Codes	NO	NO	NO	YES
github_test	STRIDES-Codes	NO	NO	NO	NO
Hack-the-hack-Creating-an-automated-tool-for-running-hackathons	STRIDES-Codes	YES	NO	NO	YES
Protein-antibody-interactions-in-SARS-CoV-2-Molecular-Visualization-and-Informatics	STRIDES-Codes	NO	NO	NO	YES
Creating-Rmarkdown-courses-to-teach-bioinformatic-analysis-pipelines	STRIDES-Codes	NO	NO	NO	YES
AnnotQC--An-application-to-summarize-genome-annotation-to-assess-quality	STRIDES-Codes	YES	NO	NO	YES
NL4Cell-Integrating-NLP-with-single-cell-data-analysis	STRIDES-Codes	NO	NO	NO	YES
Creating-a-data-analytics-dashboards-highlighting-minority-maternal-health-disparities	STRIDES-Codes	NO	NO	NO	YES
ACT	STRIDES-Codes	NO	NO	YES	NO
Uncovering-the-Nutritional-Landscape-of-Food	STRIDES-Codes	YES	NO	NO	YES
github-demo	STRIDES-Codes	NO	NO	NO	NO
ncbi-codeathonshub.io	NCBI-Codeathons	NO	NO	NO	NO
test-repo	NCBI-Codeathons	NO	NO	NO	NO
example-repo	NCBI-Codeathons	NO	NO	NO	NO
repo-test-2	NCBI-Codeathons	NO	NO	NO	NO
Clouseau	NCBI-Codeathons	YES	NO	NO	YES
SCANCNV	NCBI-Codeathons	NO	NO	NO	YES
MASQ	NCBI-Codeathons	YES	NO	NO	YES
ASAP	NCBI-Codeathons	NO	NO	YES	YES
super-minityper	NCBI-Codeathons	NO	NO	YES	NO
